ID_Planta,Tipo_Agua,Dia,Altura_cm,Num_Folhas,Germinada,Observacoes
A1,Torneira,1,0,0,Não,"Semente ainda não germinada"
A2,Torneira,1,0,0,Não,"Semente ainda não germinada"
A3,Torneira,1,0,0,Não,"Semente ainda não germinada"
A4,Torneira,1,0,0,Não,"Semente ainda não germinada"
A5,Torneira,1,0,0,Não,"Semente ainda não germinada"
A6,Torneira,1,0,0,Não,"Semente ainda não germinada"
A7,Torneira,1,0,0,Não,"Semente ainda não germinada"
A8,Torneira,1,0,0,Não,"Semente ainda não germinada"
A9,Torneira,1,0,0,Não,"Semente ainda não germinada"
A10,Torneira,1,0,0,Não,"Semente ainda não germinada"
B1,Mineral,1,0,0,Não,"Semente ainda não germinada"
B2,Mineral,1,0,0,Não,"Semente ainda não germinada"
B3,Mineral,1,0,0,Não,"Semente ainda não germinada"
B4,Mineral,1,0,0,Não,"Semente ainda não germinada"
B5,Mineral,1,0,0,Não,"Semente ainda não germinada"
B6,Mineral,1,0,0,Não,"Semente ainda não germinada"
B7,Mineral,1,0,0,Não,"Semente ainda não germinada"
B8,Mineral,1,0,0,Não,"Semente ainda não germinada"
B9,Mineral,1,0,0,Não,"Semente ainda não germinada"
B10,Mineral,1,0,0,Não,"Semente ainda não germinada"
C1,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C2,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C3,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C4,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C5,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C6,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C7,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C8,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C9,Açucarada,1,0,0,Não,"Semente ainda não germinada"
C10,Açucarada,1,0,0,Não,"Semente ainda não germinada"
A1,Torneira,4,1.2,0,Sim,"Início de germinação"
A2,Torneira,4,1.5,0,Sim,"Início de germinação"
A3,Torneira,4,1.0,0,Sim,"Início de germinação"
A4,Torneira,4,1.3,0,Sim,"Início de germinação"
A5,Torneira,4,0,0,Não,"Semente ainda não germinada"
A6,Torneira,4,1.1,0,Sim,"Início de germinação"
A7,Torneira,4,1.4,0,Sim,"Início de germinação"
A8,Torneira,4,1.2,0,Sim,"Início de germinação"
A9,Torneira,4,0,0,Não,"Semente ainda não germinada"
A10,Torneira,4,1.3,0,Sim,"Início de germinação"
B1,Mineral,4,1.7,0,Sim,"Início de germinação"
B2,Mineral,4,1.8,0,Sim,"Início de germinação"
B3,Mineral,4,1.5,0,Sim,"Início de germinação"
B4,Mineral,4,1.9,0,Sim,"Início de germinação"
B5,Mineral,4,1.6,0,Sim,"Início de germinação"
B6,Mineral,4,1.7,0,Sim,"Início de germinação"
